Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 2;NAPO;CARLOS JULIO AROSEMENA TOLA;LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO;12/11/2020;HOMBRE;39;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;11/8/2020;HOMBRE;30;COLOMBIANO
ZONA 2;PICHINCHA;CAYAMBE;VIOLACIÓN;12/9/2020;HOMBRE;26;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;21/2/2020;HOMBRE;21;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;29/4/2020;HOMBRE;33;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;26/2/2020;HOMBRE;47;ECUATORIANO
ZONA 2;PICHINCHA;RUMIÐAHUI;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;5/1/2020;HOMBRE;25;ECUATORIANO
ZONA 9;DMQ;QUITO;TENENCIA Y PORTE DE ARMAS;8/3/2020;HOMBRE;26;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;25/5/2020;HOMBRE;28;ECUATORIANO
ZONA 1;CARCHI;TULCAN;CONTRAVENCIONES DE SEGUNDA CLASE;13/9/2020;HOMBRE;22;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/3/2020;HOMBRE;30;ECUATORIANO
ZONA 4;MANABI;MANTA;ROBO A PERSONAS;11/10/2020;HOMBRE;22;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;1/2/2020;HOMBRE;31;VENEZOLANO
ZONA 6;CAÑAR;LA TRONCAL;BOLETA DE DETENCIÓN/CAPTURA;6/10/2020;HOMBRE;21;ECUATORIANO
ZONA 1;CARCHI;TULCAN;CONTRAVENCIONES DE PRIMERA CLASE;6/1/2020;HOMBRE;20;VENEZOLANO
ZONA 8;DMG;DURAN;LESIONES;8/11/2020;HOMBRE;52;ECUATORIANO
ZONA 1;ESMERALDAS;SAN LORENZO;DELINCUENCIA ORGANIZADA;27/2/2020;HOMBRE;41;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;24/2/2020;HOMBRE;41;ECUATORIANO
ZONA 5;LOS RIOS;VENTANAS;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;11/11/2020;MUJER;23;ECUATORIANO
ZONA 5;GUAYAS;EMPALME;TENENCIA Y PORTE DE ARMAS;22/6/2020;HOMBRE;45;ECUATORIANO
ZONA 9;DMQ;QUITO;OTROS ROBOS;8/9/2020;HOMBRE;21;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;CONTRAVENCIÓN DE HURTO;6/3/2020;HOMBRE;69;ECUATORIANO
ZONA 1;CARCHI;TULCAN;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;16/7/2020;HOMBRE;25;VENEZOLANO
ZONA 7;EL ORO;PASAJE;MALTRATO O MUERTE DE MASCOTAS O ANIMALES DE COMPAÑÍA;10/6/2020;HOMBRE;27;ECUATORIANO
ZONA 3;COTOPAXI;LATACUNGA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;31/1/2020;HOMBRE;28;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ASESINATO;23/1/2020;HOMBRE;17;ECUATORIANO
ZONA 5;GUAYAS;NARANJAL;ESTAFA;28/9/2020;HOMBRE;22;VENEZOLANO
ZONA 1;IMBABURA;IBARRA;CONTRAVENCIONES DE SEGUNDA CLASE;27/9/2020;HOMBRE;24;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;LESIONES;26/6/2020;HOMBRE;24;VENEZOLANO
ZONA 9;DMQ;QUITO;ROBO  A DOMICILIO;18/6/2020;HOMBRE;33;VENEZOLANO
ZONA 1;IMBABURA;IBARRA;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;22/1/2020;HOMBRE;15;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;BOLETA DE AUXILIO;1/10/2020;HOMBRE;31;ECUATORIANO
ZONA 7;LOJA;LOJA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;26/2/2020;MUJER;37;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;21/11/2020;HOMBRE;35;ECUATORIANO
ZONA 5;LOS RIOS;BUENA FE;LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO;6/8/2020;HOMBRE;56;ECUATORIANO
ZONA 5;GUAYAS;EL TRIUNFO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;2/8/2020;HOMBRE;29;VENEZOLANO
ZONA 1;CARCHI;ESPEJO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;3/2/2020;HOMBRE;20;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;FALSIFICACIÓN Y USO DE DOCUMENTO FALSO;21/11/2020;HOMBRE;21;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ROBO A PERSONAS;13/2/2020;HOMBRE;22;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;10/9/2020;HOMBRE;21;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TENENCIA Y PORTE DE ARMAS;12/10/2020;HOMBRE;40;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;CONTRAVENCIONES DE SEGUNDA CLASE;11/1/2020;HOMBRE;52;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;ROBO DE CARROS;21/10/2020;HOMBRE;21;ECUATORIANO
ZONA 9;DMQ;QUITO;INTIMIDACIÓN;22/5/2020;HOMBRE;25;ECUATORIANO
ZONA 1;CARCHI;TULCAN;PRODUCCIÓN TENENCIA Y TRÁFICO DE INSTRUMENTOS DESTINADOS A LA FALSIFICACIÓN DE MONEDA;13/7/2020;MUJER;19;VENEZOLANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SUMINISTRO DE SUSTANCIAS ESTUPEFACIENTES
ZONA 9;DMQ;QUITO;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;8/9/2020;HOMBRE;41;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE DETENCIÓN/CAPTURA;26/8/2020;HOMBRE;24;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;28/7/2020;HOMBRE;19;ECUATORIANO
ZONA 2;PICHINCHA;RUMIÐAHUI;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;5/9/2020;HOMBRE;49;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;6/3/2020;HOMBRE;37;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A  UNIDADES ECONOMICAS;10/10/2020;MUJER;21;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE AUXILIO;21/7/2020;HOMBRE;40;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;BOLETA DE APREMIO;20/1/2020;HOMBRE;33;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;BOLETA DE APREMIO;5/7/2020;HOMBRE;43;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;23/11/2020;HOMBRE;22;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;29/10/2020;HOMBRE;24;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;ABUSO SEXUAL;30/8/2020;HOMBRE;24;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;BOLETA DE APREMIO;27/2/2020;HOMBRE;29;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE ENCARCELAMIENTO;20/2/2020;HOMBRE;37;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ACTOS ILEGALES TENDIENTES AL ALZA DE PRECIOS DE PRODUCTOS SUJETOS A PRECIO OFICIAL;17/3/2020;HOMBRE;30;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;1/4/2020;HOMBRE;26;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;15/10/2020;HOMBRE;30;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;13/2/2020;HOMBRE;28;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;CONTRAVENCIONES DE SEGUNDA CLASE;15/5/2020;HOMBRE;41;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TENTATIVA;16/2/2020;MUJER;18;ECUATORIANO
ZONA 1;CARCHI;MONTUFAR;CONTRABANDO;2/10/2020;HOMBRE;33;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;16/10/2020;HOMBRE;34;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;ROBO DE MOTOS;24/8/2020;HOMBRE;34;ECUATORIANO
ZONA 3;PASTAZA;SANTA CLARA;BOLETA DE AUXILIO;11/10/2020;HOMBRE;23;ECUATORIANO
ZONA 2;PICHINCHA;MEJIA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;6/8/2020;HOMBRE;39;ECUATORIANO
ZONA 7;EL ORO;MACHALA;ACTOS ILEGALES TENDIENTES AL ALZA DE PRECIOS DE PRODUCTOS SUJETOS A PRECIO OFICIAL;10/4/2020;HOMBRE;47;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;16/10/2020;HOMBRE;23;ECUATORIANO
ZONA 3;CHIMBORAZO;PENIPE;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;11/9/2020;HOMBRE;33;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;22/9/2020;HOMBRE;38;ECUATORIANO
ZONA 6;CAÑAR;AZOGUES;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;8/2/2020;HOMBRE;34;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;ROBO A PERSONAS;23/2/2020;HOMBRE;52;ECUATORIANO
ZONA 9;DMQ;QUITO;DELINCUENCIA ORGANIZADA;14/5/2020;HOMBRE;23;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;BOLETA DE APREMIO;15/11/2020;HOMBRE;43;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A PERSONAS;12/11/2020;HOMBRE;27;ECUATORIANO
ZONA 9;DMQ;QUITO;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;26/8/2020;HOMBRE;37;ECUATORIANO
ZONA 3;PASTAZA;PASTAZA;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;18/10/2020;HOMBRE;58;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;CONTRAVENCIONES DE CUARTA CLASE;28/6/2020;HOMBRE;34;ECUATORIANO
ZONA 9;DMQ;QUITO;DAÑO A BIEN AJENO;14/8/2020;HOMBRE;41;ECUATORIANO
ZONA 3;TUNGURAHUA;BAÑOS DE AGUA SANTA;BOLETA DE AUXILIO;1/10/2020;HOMBRE;28;ECUATORIANO
ZONA 7;EL ORO;MACHALA;ROBO A PERSONAS;11/7/2020;HOMBRE;23;ECUATORIANO
ZONA 3;CHIMBORAZO;ALAUSI;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;16/2/2020;HOMBRE;34;ECUATORIANO
ZONA 1;SUCUMBIOS;SHUSHUFINDI;CONTRAVENCIONES DE SEGUNDA CLASE;1/1/2020;HOMBRE;20;ECUATORIANO
ZONA 1;ESMERALDAS;SAN LORENZO;BOLETA DE DETENCIÓN/CAPTURA;17/11/2020;HOMBRE;31;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;BOLETA DE AUXILIO;26/7/2020;HOMBRE;34;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;VIOLACIÓN DE PROPIEDAD PRIVADA;1/1/2020;HOMBRE;35;ECUATORIANO
ZONA 6;CAÑAR;AZOGUES;PRODUCCIÓN ILÍCITA DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;1/8/2020;HOMBRE;25;ECUATORIANO
ZONA 6;CAÑAR;AZOGUES;BOLETA DE APREMIO;22/10/2020;HOMBRE;35;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;10/6/2020;MUJER;36;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/9/2020;MUJER;22;ECUATORIANO
ZONA 1;CARCHI;TULCAN;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;5/9/2020;HOMBRE;44;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;19/11/2020;HOMBRE;40;ECUATORIANO
ZONA 9;DMQ;QUITO;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;6/11/2020;HOMBRE;28;ECUATORIANO
ZONA 1;CARCHI;TULCAN;CONTRAVENCIONES DE PRIMERA CLASE;19/1/2020;HOMBRE;29;ECUATORIANO
ZONA 1;SUCUMBIOS;SHUSHUFINDI;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;4/10/2020;MUJER;40;COLOMBIANO
ZONA 3;TUNGURAHUA;AMBATO;ROBO A PERSONAS;15/5/2020;HOMBRE;21;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/2/2020;HOMBRE;60;ECUATORIANO
ZONA 3;CHIMBORAZO;GUANO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;21/1/2020;HOMBRE;25;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;27/7/2020;HOMBRE;46;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;VIOLACIÓN;4/7/2020;HOMBRE;43;ECUATORIANO
ZONA 5;BOLIVAR;ECHEANDIA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;12/3/2020;MUJER;67;ECUATORIANO
ZONA 7;LOJA;LOJA;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;15/9/2020;HOMBRE;24;ECUATORIANO
ZONA 9;DMQ;QUITO;LESIONES;13/9/2020;HOMBRE;37;COLOMBIANO
ZONA 7;EL ORO;PASAJE;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;30/8/2020;HOMBRE;28;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;ASOCIACIÓN ILÍCITA;8/10/2020;HOMBRE;29;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;ACTIVIDAD ILÍCITA DE RECURSOS MINEROS;19/8/2020;HOMBRE;54;COLOMBIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE APREMIO;13/2/2020;HOMBRE;43;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO;25/1/2020;HOMBRE;33;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;BOLETA DE APREMIO;26/8/2020;HOMBRE;21;ECUATORIANO
ZONA 7;LOJA;LOJA;BOLETA DE APREMIO;30/10/2020;HOMBRE;32;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TENTATIVA;10/6/2020;HOMBRE;20;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;15/10/2020;MUJER;29;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;31/5/2020;HOMBRE;26;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;ROBO A PERSONAS;8/8/2020;HOMBRE;36;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/8/2020;HOMBRE;36;ECUATORIANO
