Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;57;ECUATORIANO
ZONA 4;MANABI;JAMA;RECEPTACIÓN;4/10/2019;HOMBRE;20;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;21;ECUATORIANO
ZONA 1;CARCHI;TULCAN;BOLETA DE APREMIO;4/10/2019;HOMBRE;36;COLOMBIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;CONTRAVENCIONES DE PRIMERA CLASE;4/10/2019;HOMBRE;40;ECUATORIANO
ZONA 9;DMQ;QUITO;ESTAFA;4/10/2019;HOMBRE;35;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;HURTO;4/10/2019;HOMBRE;36;ECUATORIANO
ZONA 5;GUAYAS;NARANJAL;RECEPTACIÓN;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 1;ESMERALDAS;QUININDE;ROBO A PERSONAS;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;21;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;30;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO DE MOTOS;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;TENENCIA Y PORTE DE ARMAS;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;4/10/2019;HOMBRE;50;ECUATORIANO
ZONA 6;CAÑAR;LA TRONCAL;MUERTE CULPOSA;4/10/2019;HOMBRE;37;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;4/10/2019;HOMBRE;32;ECUATORIANO
ZONA 7;LOJA;LOJA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;MUJER;55;ECUATORIANO
ZONA 7;LOJA;LOJA;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;38;ECUATORIANO
ZONA 7;LOJA;LOJA;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;51;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;4/10/2019;HOMBRE;44;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;4/10/2019;HOMBRE;34;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;4/10/2019;HOMBRE;36;ECUATORIANO
ZONA 2;ORELLANA;ORELLANA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;4/10/2019;HOMBRE;46;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;55;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;EVASIÓN;4/10/2019;HOMBRE;35;ECUATORIANO
ZONA 4;MANABI;TOSAGUA;CONTRAVENCIONES DE CUARTA CLASE;4/10/2019;HOMBRE;22;ECUATORIANO
ZONA 5;BOLIVAR;GUARANDA;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;28;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;CONTRAVENCIONES DE PRIMERA CLASE;4/10/2019;HOMBRE;20;ECUATORIANO
ZONA 6;AZUAY;CUENCA;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 6;AZUAY;CUENCA;CONTRAVENCIONES DE PRIMERA CLASE;4/10/2019;MUJER;19;ECUATORIANO
ZONA 9;DMQ;QUITO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;36;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;34;ECUATORIANO
ZONA 6;AZUAY;CUENCA;CONTRAVENCIONES DE PRIMERA CLASE;4/10/2019;MUJER;20;ECUATORIANO
ZONA 1;ESMERALDAS;SAN LORENZO;DAÑO A BIEN AJENO;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;20;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;22;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;LESIONES;4/10/2019;HOMBRE;42;ECUATORIANO
ZONA 9;DMQ;QUITO;ATAQUE O RESISTENCIA;4/10/2019;HOMBRE;25;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;CONTRAVENCIONES DE PRIMERA CLASE;4/10/2019;HOMBRE;20;ECUATORIANO
ZONA 5;GUAYAS;SAN JACINTO DE YAGUACHI;ROBO EN EJES VIALES O CARRETERAS;4/10/2019;HOMBRE;29;ECUATORIANO
ZONA 3;PASTAZA;PASTAZA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;4/10/2019;HOMBRE;26;ECUATORIANO
ZONA 5;GUAYAS;SAN JACINTO DE YAGUACHI;ROBO EN EJES VIALES O CARRETERAS;4/10/2019;HOMBRE;46;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE PRIMERA CLASE;4/10/2019;HOMBRE;22;ECUATORIANO
ZONA 4;MANABI;MANTA;ROBO A PERSONAS;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;CONTRAVENCIONES DE PRIMERA CLASE;4/10/2019;HOMBRE;18;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;INTIMIDACIÓN;4/10/2019;HOMBRE;43;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;28;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;4/10/2019;HOMBRE;20;VENEZOLANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;27;ECUATORIANO
ZONA 6;MORONA SANTIAGO;SUCUA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;LESIONES;4/10/2019;HOMBRE;30;ECUATORIANO
ZONA 9;DMQ;QUITO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;30;ECUATORIANO
