Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 6;CAÑAR;LA TRONCAL;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;41;ECUADOR
ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;SIN DATO;COLOMBIA
ZONA 6;AZUAY;CUENCA;VARIOS;1/1/2018;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 3;COTOPAXI;LATACUNGA;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 5;LOS RIOS;BABAHOYO;INTIMIDACION/AMENAZA;1/1/2018;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 8;DMG;GUAYAQUIL;VIOLACION;1/1/2018;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;SIN DATO;SIN DATO
ZONA 3;TUNGURAHUA;SANTIAGO DE PILLARO;VARIOS;1/1/2018;BOLETA;HOMBRE;27;ECUADOR
ZONA 7;LOJA;LOJA;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 4;MANABI;PORTOVIEJO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2018;FLAGRANTE;HOMBRE;50;ECUADOR
ZONA 1;SUCUMBIOS;LAGO AGRIO;ROBO A PERSONAS;1/1/2018;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 7;EL ORO;HUAQUILLAS;VARIOS;1/1/2018;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 6;MORONA SANTIAGO;MORONA;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 7;LOJA;PINDAL;VARIOS;1/1/2018;BOLETA;HOMBRE;SIN DATO;BRASIL
ZONA 2;PICHINCHA;PEDRO MONCAYO;VARIOS;1/1/2018;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;1/1/2018;BOLETA;HOMBRE;27;ECUADOR
ZONA 5;GUAYAS;BALZAR;HERIDAS/LESIONES;1/1/2018;FLAGRANTE;MUJER;19;ECUADOR
