Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 4;MANABI;BOLIVAR;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;38;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;VARIOS;1/1/2017;BOLETA;HOMBRE;15;ECUATORIANA
ZONA 5;LOS RIOS;BABAHOYO;VARIOS;1/1/2017;BOLETA;HOMBRE;20;ECUATORIANA
ZONA 4;MANABI;SAN VICENTE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 5;LOS RIOS;BUENA FE;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 5;GUAYAS;SIMON BOLIVAR;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 7;EL ORO;ARENILLAS;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 2;ORELLANA;PUERTO FRANCISCO DE ORELLANA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;25;ECUATORIANA
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 1;CARCHI;ESPEJO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;1/1/2017;BOLETA;HOMBRE;21;ECUATORIANA
ZONA 7;EL ORO;MACHALA;VARIOS;1/1/2017;BOLETA;HOMBRE;38;ECUATORIANA
ZONA 5;GUAYAS;SALITRE;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;25;ECUATORIANA
ZONA 4;MANABI;BOLIVAR;VARIOS;1/1/2017;BOLETA;HOMBRE;20;ECUATORIANA
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;1/1/2017;FLAGRANTE;MUJER;16;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;56;ECUATORIANA
ZONA 6;MORONA SANTIAGO;SUCUA;TENTATIVA DE ROBO;1/1/2017;FLAGRANTE;HOMBRE;34;ECUATORIANA
