Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 2;PICHINCHA;CAYAMBE;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 1;SUCUMBIOS;LAGO AGRIO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;45;ECUADOR
ZONA 7;EL ORO;MACHALA;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 1;SUCUMBIOS;LAGO AGRIO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;VARIOS;29/6/2018;BOLETA ;HOMBRE;41;ECUADOR
ZONA 5;GALAPAGOS;SANTA CRUZ;HURTO;30/6/2018;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 1;ESMERALDAS;QUININDE;HURTO;29/6/2018;FLAGRANTE;HOMBRE;17;ECUADOR
ZONA 1;SUCUMBIOS;CASCALES;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;CARCHI;TULCAN;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;44;ECUADOR
ZONA 1;SUCUMBIOS;SHUSHUFINDI;HERIDAS/LESIONES;30/6/2018;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 6;CAÑAR;CAÑAR;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;CARCHI;TULCAN;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 5;GUAYAS;EL TRIUNFO;VARIOS;30/6/2018;FLAGRANTE;MUJER;25;ECUADOR
ZONA 7;EL ORO;HUAQUILLAS;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 6;AZUAY;CAMILO PONCE ENRIQUEZ;ABUSO DE ARMAS;30/6/2018;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;CARCHI;TULCAN;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;30/6/2018;BOLETA ;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;30/6/2018;FLAGRANTE;HOMBRE;45;ECUADOR
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;29/6/2018;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 4;MANABI;BOLIVAR;VARIOS;30/6/2018;BOLETA ;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 2;NAPO;EL CHACO;HURTO;30/6/2018;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 4;MANABI;EL CARMEN;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 4;MANABI;PORTOVIEJO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;42;ECUADOR
ZONA 4;MANABI;PORTOVIEJO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;44;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;30/6/2018;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;30/6/2018;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;30/6/2018;FLAGRANTE;MUJER;20;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 7;EL ORO;ARENILLAS;VARIOS;30/6/2018;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 8;DMG;GUAYAQUIL;HURTO;30/6/2018;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 1;IMBABURA;COTACACHI;HERIDAS/LESIONES;30/6/2018;FLAGRANTE;MUJER;32;ECUADOR
ZONA 1;IMBABURA;COTACACHI;HERIDAS/LESIONES;30/6/2018;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 3;CHIMBORAZO;CHAMBO;VARIOS;30/6/2018;BOLETA ;HOMBRE;35;ECUADOR
ZONA 5;LOS RIOS;URDANETA;INTIMIDACION/AMENAZA;30/6/2018;FLAGRANTE;HOMBRE;24;ECUADOR
