Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;10/9/2020;HOMBRE;31;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;27/5/2020;HOMBRE;20;ECUATORIANO
ZONA 5;GUAYAS;NARANJAL;ALMACENAMIENTO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;DAÑO A BIEN AJENO;21/9/2020;HOMBRE;47;ECUATORIANO
ZONA 4;MANABI;TOSAGUA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;7/4/2020;HOMBRE;19;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE ENCARCELAMIENTO;17/7/2020;HOMBRE;40;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;ESTAFA;11/5/2020;HOMBRE;27;ECUATORIANO
ZONA 4;MANABI;MANTA;ESTAFA;6/10/2020;HOMBRE;45;ECUATORIANO
ZONA 5;SANTA ELENA;LA LIBERTAD;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;20/11/2020;HOMBRE;22;ECUATORIANO
ZONA 5;SANTA ELENA;LA LIBERTAD;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;17/9/2020;HOMBRE;27;ECUATORIANO
ZONA 7;LOJA;CATAMAYO;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;25/2/2020;HOMBRE;61;ECUATORIANO
ZONA 1;ESMERALDAS;QUININDE;BOLETA DE APREMIO;6/1/2020;HOMBRE;35;ECUATORIANO
ZONA 7;EL ORO;EL GUABO;ROBO  A DOMICILIO;3/2/2020;HOMBRE;33;ECUATORIANO
ZONA 7;LOJA;LOJA;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;27/8/2020;HOMBRE;27;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TENENCIA Y PORTE DE ARMAS;13/3/2020;HOMBRE;23;COLOMBIANO
ZONA 3;TUNGURAHUA;SAN PEDRO DE PELILEO;LESIONES;22/11/2020;HOMBRE;29;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;29/2/2020;HOMBRE;24;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/9/2020;HOMBRE;24;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;ESTAFA;4/3/2020;HOMBRE;49;ECUATORIANO
ZONA 4;MANABI;MANTA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;20/8/2020;HOMBRE;31;ECUATORIANO
ZONA 3;CHIMBORAZO;GUAMOTE;ABUSO SEXUAL;25/2/2020;HOMBRE;73;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;30/6/2020;HOMBRE;45;ECUATORIANO
ZONA 2;PICHINCHA;PEDRO VICENTE MALDONADO;BOLETA DE APREMIO;10/2/2020;HOMBRE;33;ECUATORIANO
ZONA 5;GUAYAS;MILAGRO;SUMINISTRO DE SUSTANCIAS ESTUPEFACIENTES
