Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;21/2/2019;HOMBRE;34;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;17/2/2019;HOMBRE;18;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;10/2/2019;MUJER;43;ECUATORIANO
ZONA 3;COTOPAXI;LATACUNGA;NOVEDADES;6/1/2019;HOMBRE;52;ECUATORIANO
ZONA 5;GUAYAS;PLAYAS;OTROS;15/2/2019;MUJER;29;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE APREMIO;6/2/2019;HOMBRE;33;ECUATORIANO
ZONA 5;LOS RIOS;PUEBLOVIEJO;NOVEDADES;6/1/2019;HOMBRE;23;ECUATORIANO
ZONA 1;CARCHI;TULCAN;FALSIFICACIÓN Y USO DE DOCUMENTO FALSO;9/1/2019;HOMBRE;21;VENEZOLANO
ZONA 9;DMQ;QUITO;LESIONES;14/2/2019;HOMBRE;32;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;BOLETA DE DETENCIÓN/CAPTURA;28/2/2019;HOMBRE;24;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;CONTRAVENCIÓN DE HURTO;6/2/2019;HOMBRE;40;ECUATORIANO
ZONA 4;MANABI;MONTECRISTI;BOLETA DE DETENCIÓN/CAPTURA;17/1/2019;HOMBRE;20;ECUATORIANO
ZONA 9;DMQ;QUITO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;1/1/2019;HOMBRE;31;ECUATORIANO
ZONA 1;ESMERALDAS;QUININDE;BOLETA DE APREMIO;23/1/2019;HOMBRE;31;ECUATORIANO
ZONA 5;LOS RIOS;BABA;PROCEDIMIENTOS;22/1/2019;HOMBRE;35;ECUATORIANO
ZONA 5;LOS RIOS;BUENA FE;DISPOSICION FISCAL;23/2/2019;HOMBRE;29;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;2/3/2019;MUJER;34;COLOMBIANO
